variant,source_group,case3_name,case3_source_variant,w1,w2,w3,rebalance_hours,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,ref85_cagr_pct,ref85_mdd_pct,ref118_cagr_pct,ref118_mdd_pct,delta_cagr_vs_85,delta_mdd_vs_85,delta_calmar_vs_85,delta_cagr_vs_118,delta_mdd_vs_118,delta_calmar_vs_118,meets_target,dominates_118,dominates_85
lv3p0_g12_body20_tp20_lb5_none_case3_rb6h_w50_28_22,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.5,0.28,0.22,6,61051.179975455285,2952.5589987727644,129.52321659800168,43.15181777789243,3.0015703455338354,6012,293.40772804106297,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.565476905906365,-1.9598575088320302,0.29810746332105165,0.0023591353177323526,-0.41612711348705034,0.028722813119896884,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb4h_w52_27_21,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.27,0.21,4,61290.18042553206,2964.5090212766027,129.74126814405014,43.243254497208994,3.000266045018048,9018,358.91021628325745,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.7835284519548225,-1.8684207895154685,0.2968031628052641,0.22041068136618946,-0.3246903941704886,0.027418512604109324,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb4h_w52_26_22,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.26,0.22,4,61509.33055037888,2975.4665275189436,129.94064434164278,43.31981992549445,2.9995656622102094,9018,361.1748738010479,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.982904649547464,-1.791855361230013,0.2961027799974256,0.41978687895883127,-0.24812496588503308,0.026718129796270862,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb6h_w49_29_22,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.49,0.29000000000000004,0.22,6,61322.889842736506,2966.144492136825,129.77106041375964,43.26401961589678,2.9995146444062035,6012,294.59875295049443,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.813320721664326,-1.8476556708276846,0.2960517621934198,0.2502029510756927,-0.30392527548270465,0.026667111992265013,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb4h_w52_27_21,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.52,0.27,0.21,4,61223.94191915598,2961.197095957799,129.68090015079184,43.243254497208994,2.998870035537258,9018,359.7754990032012,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.723160458696526,-1.8684207895154685,0.2954071533244744,0.16004268810789313,-0.3246903941704886,0.026022503123319662,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb4h_w52_26_22,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.52,0.26,0.22,4,61439.65815398779,2971.982907699389,129.8773168717037,43.319819925495054,2.9981038031800975,9018,362.08765690453083,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.919577179608382,-1.791855361229409,0.29464092096731376,0.3564594090197488,-0.24812496588442912,0.025256270766158995,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb6h_w49_29_22,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.49,0.29000000000000004,0.22,6,61241.14003605417,2962.0570018027083,129.6965788019178,43.26401961589678,2.9977930842621605,6012,295.31048581061987,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.738839109822493,-1.8476556708276846,0.29433020204937677,0.1757213392338599,-0.30392527548270465,0.024945551848222003,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb4h_w51_28_21,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.51,0.28,0.21,4,61502.22424277668,2975.111212138834,129.93418767875374,43.355754552100564,2.996930604047312,9018,361.57348480335,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.976447986658428,-1.7559207346238992,0.2934677218345283,0.41333021606979514,-0.21219033927891928,0.024083071633373532,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb4h_w51_28_21,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.51,0.28,0.21,4,61435.74008650493,2971.7870043252465,129.87375400070817,43.355754552100564,2.9955367019305137,9018,362.41832307432804,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.9160143086128585,-1.7559207346238992,0.29207381971772994,0.3528965380242255,-0.21219033927891928,0.02268916951657518,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb6h_w48_30_22,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.48,0.30000000000000004,0.22,6,61497.33663427086,2974.866831713543,129.92974655805557,43.37666052224731,2.9953838076450428,6012,296.27589154225893,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,7.972006865960253,-1.7350147644771496,0.291920925432259,0.4088890953716202,-0.19128436913216973,0.02253627523110424,False,True,True
