variant,source_group,case3_name,case3_source_variant,w1,w2,w3,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,leader_cagr_pct,leader_mdd_pct,cagr_peak_pct,delta_cagr_vs_leader,delta_mdd_vs_leader,delta_calmar_vs_leader,delta_cagr_vs_cagr_peak,delta_mdd_vs_cagr_peak,delta_calmar_vs_cagr_peak,dominates_leader,beats_cagr_peak
smc5_longonly_redavg_case3_w59_32_9,study115_redavg,smc5_longonly_redavg_case3,smc5_longonly_long_above_redavg_2021plus,0.59,0.32000000000000006,0.09,51312.73184970224,2465.6365924851125,120.03155383820628,45.98536421427902,2.6102120944153575,9018,266.9640044352052,121.95773969209532,45.11167528672446,122.40320768847863,-1.926185853889038,0.8736889275545607,-0.09325078779742624,-2.3716538502723523,0.5406589561793496,-0.0832415652199976,False,False
smc5_longonly_case3_w58_33_9,study115_best,smc5_longonly_case3,smc5_longonly_2021plus,0.58,0.33000000000000007,0.09,51534.92230550088,2476.746115275044,120.26273107489622,46.09652435512292,2.6089327288193016,9018,269.0960165836127,121.95773969209532,45.11167528672446,122.40320768847863,-1.6950086171990932,0.9848490683984537,-0.09453015339348214,-2.1404766135824076,0.6518190970232425,-0.0845209308160535,False,False
smc5_longonly_redavg_case3_w58_33_9,study115_redavg,smc5_longonly_redavg_case3,smc5_longonly_long_above_redavg_2021plus,0.58,0.33000000000000007,0.09,51450.17334843475,2472.5086674217378,120.17464350729713,46.09652435512282,2.607021791523461,9018,269.0124050309849,121.95773969209532,45.11167528672446,122.40320768847863,-1.7830961847981825,0.9848490683983542,-0.09644109068932272,-2.228564181181497,0.651819097023143,-0.08643186811189407,False,False
smc5_longonly_case3_w62_30_8,study115_best,smc5_longonly_case3,smc5_longonly_2021plus,0.62,0.3,0.08,51079.45965264054,2453.9729826320267,119.78802982835487,46.01994190519192,2.60295917094238,9018,258.1846964396301,121.95773969209532,45.11167528672446,122.40320768847863,-2.169709863740451,0.9082666184674579,-0.1005037112704037,-2.615177860123765,0.5752366470922468,-0.09049448869297505,False,False
smc5_longonly_redavg_case3_w62_30_8,study115_redavg,smc5_longonly_redavg_case3,smc5_longonly_long_above_redavg_2021plus,0.62,0.3,0.08,51005.1331485599,2450.256657427995,119.71025999972254,46.0199419051921,2.6012692551056107,9018,258.14015683968853,121.95773969209532,45.11167528672446,122.40320768847863,-2.247479692372778,0.9082666184676356,-0.10219362710717306,-2.6929476887560924,0.5752366470924244,-0.09218440452974441,False,False
smc5_longonly_case3_w61_31_8,study115_best,smc5_longonly_case3,smc5_longonly_2021plus,0.61,0.31,0.08,51246.65475737566,2462.3327378687827,119.96265801340425,46.129914744175636,2.6005393393568053,9018,260.87496504248617,121.95773969209532,45.11167528672446,122.40320768847863,-1.995081678691065,1.0182394574511733,-0.10292354285597849,-2.4405496750743794,0.6852094860759621,-0.09291432027854984,False,False
smc5_longonly_redavg_case3_w61_31_8,study115_redavg,smc5_longonly_redavg_case3,smc5_longonly_long_above_redavg_2021plus,0.61,0.31,0.08,51172.04412068951,2458.602206034476,119.88478373972806,46.129914744175515,2.598851188097308,9018,260.82102907910564,121.95773969209532,45.11167528672446,122.40320768847863,-2.072955952367252,1.0182394574510525,-0.10461169411547555,-2.5184239487505664,0.6852094860758413,-0.0946024715380469,False,False
smc5_longonly_case3_w60_32_8,study115_best,smc5_longonly_case3,smc5_longonly_2021plus,0.6,0.32,0.08,51400.44328820473,2470.0221644102367,120.12290322933228,46.24026713802848,2.5977986431341775,9018,263.296781979043,121.95773969209532,45.11167528672446,122.40320768847863,-1.834836462763036,1.1285918513040158,-0.10566423907860623,-2.2803044591463504,0.7955618799288047,-0.09565501650117758,False,False
smc5_longonly_redavg_case3_w60_32_8,study115_redavg,smc5_longonly_redavg_case3,smc5_longonly_long_above_redavg_2021plus,0.6,0.32,0.08,51325.56776176678,2466.2783880883394,120.04492951675259,46.24026713802858,2.5961123701646205,9018,263.233844808705,121.95773969209532,45.11167528672446,122.40320768847863,-1.9128101753427273,1.1285918513041153,-0.10735051204816326,-2.3582781717260417,0.7955618799289041,-0.09734128947073462,False,False
smc5_longonly_case3_w59_33_8,study115_best,smc5_longonly_case3,smc5_longonly_2021plus,0.59,0.33,0.08,51540.699995929994,2477.0349997964995,120.26873237866344,46.350996871676486,2.594738851283597,9018,265.4510674851029,121.95773969209532,45.11167528672446,122.40320768847863,-1.6890073134318726,1.2393215849520232,-0.10872403092918681,-2.134475309815187,0.906291613576812,-0.09871480835175817,False,False
smc5_longonly_redavg_case3_w59_33_8,study115_redavg,smc5_longonly_redavg_case3,smc5_longonly_long_above_redavg_2021plus,0.59,0.33,0.08,51465.57883849541,2473.27894192477,120.1906640469324,46.3509968716765,2.593054565356647,9018,265.37971245336445,121.95773969209532,45.11167528672446,122.40320768847863,-1.7670756451629188,1.2393215849520374,-0.11040831685613695,-2.212543641546233,0.9062916135768262,-0.1003990942787083,False,False
smc5_longonly_case3_w58_34_8,study115_best,smc5_longonly_case3,smc5_longonly_2021plus,0.58,0.34,0.08,51667.30589417644,2483.3652947088217,120.4001106299109,46.46210172532713,2.5913616939174995,9018,267.3400869721391,121.95773969209532,45.11167528672446,122.40320768847863,-1.557629062184418,1.3504264386026676,-0.11210118829528426,-2.0030970585677323,1.0173964672274565,-0.10209196571785562,False,False
