variant,timestamp,topup_amount,topup_case1,topup_case2,topup_case3,equity_before_topup,equity_after_topup,cumulative_contribution,cap1_after_topup,cap2_after_topup,cap3_after_topup
case12_cash_only_rebalance_topup,2022-06-01,1000.0,759.2057345557414,240.7942654442586,0.0,8248.87078572129,9248.87078572129,7000.0,,,
case12_cash_only_rebalance_topup,2022-07-01,1000.0,1000.0,0.0,0.0,13913.920083184203,14913.920083184203,8000.0,,,
case12_cash_only_rebalance_topup,2022-08-01,1000.0,777.519257956832,222.480742043168,0.0,14291.343383557227,15291.343383557227,9000.0,,,
case12_cash_only_rebalance_topup,2022-09-01,1000.0,903.4526118984904,96.54738810150957,0.0,15087.146896022477,16087.146896022477,10000.0,,,
case12_cash_only_rebalance_topup,2022-10-01,1000.0,1000.0,0.0,0.0,16221.20704145317,17221.20704145317,11000.0,,,
case12_cash_only_rebalance_topup,2022-11-01,1000.0,1000.0,0.0,0.0,16152.670813137389,17152.67081313739,12000.0,,,
case12_cash_only_rebalance_topup,2022-12-01,1000.0,1000.0,0.0,0.0,16889.56740047582,17889.56740047582,13000.0,,,
case12_cash_only_rebalance_topup,2023-01-01,1000.0,1000.0,0.0,0.0,16607.61802999828,17607.61802999828,14000.0,,,
case12_cash_only_rebalance_topup,2023-02-01,1000.0,275.7881881578505,724.2118118421495,0.0,33751.68723780878,34751.68723780878,15000.0,,,
case12_cash_only_rebalance_topup,2023-03-01,1000.0,158.96211406105795,841.037885938942,0.0,27363.58417332577,28363.58417332577,16000.0,,,
case12_cash_only_rebalance_topup,2023-04-01,1000.0,0.0,1000.0,0.0,35897.672494975,36897.672494975,17000.0,,,
case12_cash_only_rebalance_topup,2023-05-01,1000.0,604.9699583997572,395.03004160024284,0.0,34744.62708482716,35744.62708482716,18000.0,,,
case12_cash_only_rebalance_topup,2023-06-01,1000.0,1000.0,0.0,0.0,33365.557049458104,34365.557049458104,19000.0,,,
case12_cash_only_rebalance_topup,2023-07-01,1000.0,617.2001419232438,382.7998580767562,0.0,42128.812015566815,43128.812015566815,20000.0,,,
case12_cash_only_rebalance_topup,2023-08-01,1000.0,875.5929450740878,124.40705492591223,0.0,38240.56176586386,39240.56176586386,21000.0,,,
case12_cash_only_rebalance_topup,2023-09-01,1000.0,1000.0,0.0,0.0,35351.60910393229,36351.60910393229,22000.0,,,
case12_cash_only_rebalance_topup,2023-10-01,1000.0,625.5947827674354,374.4052172325646,0.0,32622.725906770997,33622.725906771,23000.0,,,
case12_cash_only_rebalance_topup,2023-11-01,1000.0,0.0,1000.0,0.0,53175.38856840544,54175.38856840544,24000.0,,,
case12_cash_only_rebalance_topup,2023-12-01,1000.0,0.0,1000.0,0.0,60079.98802708393,61079.98802708393,25000.0,,,
case12_cash_only_rebalance_topup,2024-01-01,1000.0,0.0,1000.0,0.0,81737.70113049525,82737.70113049525,26000.0,,,
case12_cash_only_rebalance_topup,2024-02-01,1000.0,1000.0,0.0,0.0,77600.4902477912,78600.4902477912,27000.0,,,
case12_cash_only_rebalance_topup,2024-03-01,1000.0,1000.0,0.0,0.0,137903.59579193575,138903.59579193575,28000.0,,,
case12_cash_only_rebalance_topup,2024-04-01,1000.0,1000.0,0.0,0.0,220675.1375964863,221675.1375964863,29000.0,,,
case12_cash_only_rebalance_topup,2024-05-01,1000.0,1000.0,0.0,0.0,145231.31332370325,146231.31332370325,30000.0,,,
case12_cash_only_rebalance_topup,2024-06-01,1000.0,0.0,1000.0,0.0,144551.91880541717,145551.91880541717,31000.0,,,
case12_cash_only_rebalance_topup,2024-07-01,1000.0,0.0,1000.0,0.0,169942.60425257753,170942.60425257753,32000.0,,,
case12_cash_only_rebalance_topup,2024-08-01,1000.0,0.0,1000.0,0.0,174513.4330292177,175513.4330292177,33000.0,,,
case12_cash_only_rebalance_topup,2024-09-01,1000.0,0.0,1000.0,0.0,133953.0999194895,134953.0999194895,34000.0,,,
case12_cash_only_rebalance_topup,2024-10-01,1000.0,567.7205943063309,432.2794056936691,0.0,153356.19075965817,154356.19075965817,35000.0,,,
case12_cash_only_rebalance_topup,2024-11-01,1000.0,0.0,1000.0,0.0,159298.10096159653,160298.10096159653,36000.0,,,
case12_cash_only_rebalance_topup,2024-12-01,1000.0,0.0,1000.0,0.0,289129.6507128464,290129.6507128464,37000.0,,,
case12_cash_only_rebalance_topup,2025-01-01,1000.0,1000.0,0.0,0.0,215072.22589438886,216072.22589438886,38000.0,,,
case12_cash_only_rebalance_topup,2025-02-01,1000.0,64.01694563330966,935.9830543666903,0.0,260495.66293946927,261495.66293946927,39000.0,,,
case12_cash_only_rebalance_topup,2025-03-01,1000.0,1000.0,0.0,0.0,246175.0547859567,247175.0547859567,40000.0,,,
case12_cash_only_rebalance_topup,2025-04-01,1000.0,1000.0,0.0,0.0,224215.88542555599,225215.88542555599,41000.0,,,
case12_cash_only_rebalance_topup,2025-05-01,1000.0,1000.0,0.0,0.0,264099.2180046947,265099.2180046947,42000.0,,,
case12_cash_only_rebalance_topup,2025-06-01,1000.0,1000.0,0.0,0.0,369860.14680495014,370860.14680495014,43000.0,,,
case12_cash_only_rebalance_topup,2025-07-01,1000.0,1000.0,0.0,0.0,329172.7498450079,330172.7498450079,44000.0,,,
case12_cash_only_rebalance_topup,2025-08-01,1000.0,1000.0,0.0,0.0,351701.3980400112,352701.3980400112,45000.0,,,
case12_cash_only_rebalance_topup,2025-09-01,1000.0,1000.0,0.0,0.0,311669.2284007208,312669.2284007208,46000.0,,,
case12_cash_only_rebalance_topup,2025-10-01,1000.0,1000.0,0.0,0.0,294442.9238671327,295442.9238671327,47000.0,,,
case12_cash_only_rebalance_topup,2025-11-01,1000.0,1000.0,0.0,0.0,263001.88786745735,264001.88786745735,48000.0,,,
case12_cash_only_rebalance_topup,2025-12-01,1000.0,1000.0,0.0,0.0,299171.75915570004,300171.75915570004,49000.0,,,
case12_cash_only_rebalance_topup,2026-01-01,1000.0,1000.0,0.0,0.0,289491.21576040046,290491.21576040046,50000.0,,,
case12_cash_only_rebalance_topup,2026-02-01,1000.0,1000.0,0.0,0.0,303146.5535700811,304146.5535700811,51000.0,,,
case12_cash_only_rebalance_topup,2026-03-01,1000.0,1000.0,0.0,0.0,355034.7199216584,356034.7199216584,52000.0,,,
