date,timestamp_start,timestamp_end,equity_total_start,equity_total_end,equity_case1_start,equity_case1_end,equity_case2_start,equity_case2_end,return_total_pct,return_case1_pct,return_case2_pct,loss_rank_total
2025-08-14,2025-08-14 00:00:00,2025-08-14 23:59:00,55340.33062167988,50404.57141377672,41631.57268478181,37720.25308333541,13708.757936898077,12684.318330441309,-8.918918901379946,-9.395080101973086,-7.472884204187579,41
2024-04-24,2024-04-24 00:00:00,2024-04-24 23:59:00,28022.764510904533,25523.505635018853,22456.851434124717,20334.037380290247,5565.913076779819,5189.468254728606,-8.918673512433584,-9.452857004738913,-6.763397431082529,42
2024-12-22,2024-12-22 00:00:00,2024-12-22 23:59:00,41277.439342597325,37679.835915260686,33491.87943224525,30358.378892356555,7785.559910352076,7321.457022904134,-8.71566522689793,-9.356000896360062,-5.9610727139977175,43
2024-10-09,2024-10-09 00:00:00,2024-10-09 23:59:00,21182.14842120279,19376.46658679228,16523.259147072105,14890.125686286105,4658.8892741306845,4486.3409005061785,-8.524545284571172,-9.883845833619265,-3.703637572642293,44
2025-06-05,2025-06-05 00:00:00,2025-06-05 23:59:00,54293.68731130196,49713.47938835282,38496.81748438641,35118.07937273913,15796.86982691555,14595.400015613688,-8.43598611508508,-8.776668650642705,-7.605746103286448,45
2024-04-09,2024-04-09 00:00:00,2024-04-09 23:59:00,36219.96590783948,33187.59869984287,28884.01181068379,26419.931828381203,7335.954097155693,6767.666871461666,-8.37208741640556,-8.530947842193992,-7.7466028026860645,46
2023-07-24,2023-07-24 00:00:00,2023-07-24 23:59:00,7506.100967924725,6885.771305291597,5576.037551669428,5073.160535703112,1930.0634162552976,1812.6107695884853,-8.264339439130087,-9.018537111819802,-6.0854294049411894,47
2023-10-11,2023-10-11 00:00:00,2023-10-11 23:59:00,5222.696801839083,4792.896794791834,3762.53932877072,3395.859867643445,1460.1574730683626,1397.0369271483892,-8.229465032239712,-9.745531649952888,-4.322858806956786,48
2025-02-04,2025-02-04 00:00:00,2025-02-04 23:59:00,36011.34229928205,33072.144797502915,29201.72566607442,26003.634026022355,6809.6166332076255,7068.510771480562,-8.16186599586356,-10.951721403805603,3.8018900654468446,49
2024-03-21,2024-03-21 00:00:00,2024-03-21 23:59:00,30732.617539501247,28237.223626908097,23844.88253706521,21804.37206566174,6887.735002436036,6432.851561246356,-8.119692080851138,-8.557435618446164,-6.604252936978527,50
2022-03-31,2022-03-31 00:00:00,2022-03-31 23:59:00,1744.019477946778,1602.9068104697744,1174.5334557907918,1074.1123206058148,569.4860221559863,528.7944898639597,-8.0912323091216,-8.549874393945235,-7.145308349794921,51
2024-07-23,2024-07-23 00:00:00,2024-07-23 23:59:00,36182.39055828081,33323.68592848108,31078.758879276927,28537.95564304874,5103.631679003881,4785.730285432342,-7.900817457583598,-8.17536905543026,-6.228925078574377,52
2023-02-24,2023-02-24 00:00:00,2023-02-24 23:59:00,5890.647548138396,5428.677157320565,4150.686837153997,3806.816062699907,1739.9607109843992,1621.861094620658,-7.84243815374468,-8.284671620513572,-6.787487534527448,53
2022-08-09,2022-08-09 00:00:00,2022-08-09 23:59:00,3892.44532365872,3588.4510816517804,2797.553432221546,2558.293421873768,1094.891891437174,1030.157659778012,-7.8098525921283635,-8.55247330013571,-5.91238570359589,54
2022-07-25,2022-07-25 00:00:00,2022-07-25 23:59:00,3638.0724087097065,3354.2448927979767,2531.868962043196,2268.763635196804,1106.203446666511,1085.481257601173,-7.801590623436583,-10.39174344291769,-1.8732710630927074,55
2023-03-03,2023-03-03 00:00:00,2023-03-03 23:59:00,6036.37564624696,5565.90279035425,4292.942011701508,3921.262852136681,1743.433634545452,1644.6399382175696,-7.793962527584252,-8.65791241884285,-5.666616403992908,56
2023-04-17,2023-04-17 00:00:00,2023-04-17 23:59:00,8631.096449400358,7968.770571166384,6518.873295064832,5994.351914802143,2112.223154335527,1974.41865636424,-7.673716567956889,-8.046196888959045,-6.524144841818957,57
