variant,w1,w2,w3,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid
regime_hold_case3_w66_33_1,0.66,0.32999999999999996,0.01,50238.94011756241,2411.9470058781203,118.9070947039494,49.525349215729534,2.4009339981833753,9012,231.32878890449177
regime_hold_case3_w60_38_2,0.6,0.38,0.02,50556.66069224642,2427.8330346123207,119.2427605799482,49.712951095483305,2.3986256690116723,9012,249.40829836607665
regime_hold_case3_w65_34_1,0.65,0.33999999999999997,0.01,50366.60449984445,2418.3302249922226,119.04216232489317,49.62986092316491,2.3985995549975403,9012,233.76652829508126
regime_hold_case3_w72_21_7,0.72,0.21000000000000002,0.07,46678.14913477669,2233.9074567388348,115.0306205059911,47.97402214459744,2.3977689458532336,9012,241.82080847241656
regime_hold_case3_w64_35_1,0.64,0.35,0.01,50481.726862636984,2424.086343131849,119.16373858569926,49.73477951302237,2.3959840528597875,9012,235.94452954496097
baseline_70_case12_only,0.74,0.26,0.0,49153.87315364312,2357.6936576821563,117.74848752684753,49.15094827744154,2.395650372037475,9012,196.46711109231833
regime_hold_case3_w63_36_1,0.63,0.36,0.01,50584.216041071755,2429.210802053588,119.27179697055372,49.84010232149372,2.393088926687804,9012,237.86349577068282
regime_hold_case3_w62_37_1,0.62,0.37,0.01,50673.98996376552,2433.6994981882763,119.36631308239427,49.94582668283159,2.3899156548233753,9012,239.5246284964847
regime_hold_case3_w74_22_4,0.74,0.22,0.04,47543.09238140892,2277.1546190704457,115.99229929832018,48.56983349427947,2.3881551768544087,9012,218.72300146864103
regime_hold_case3_w61_38_1,0.61,0.38,0.01,50750.97625309569,2437.5488126547843,119.44726517079096,50.051949939271,2.386465768381025,9012,240.9294448423173
