variant,source_group,case3_name,case3_source_variant,w1,w2,w3,rebalance_rule,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,ref85_cagr_pct,ref85_mdd_pct,ref119_cagr_pct,ref119_mdd_pct,delta_cagr_vs_85,delta_mdd_vs_85,delta_calmar_vs_85,delta_cagr_vs_119,delta_mdd_vs_119,delta_calmar_vs_119,meets_target,dominates_119,dominates_85
lv3p0_g12_body25_tp20_lb5_none_case3_rb2h_w51_22_27,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.51,0.21999999999999997,0.27,2h,62975.5863467758,3048.7793173387904,131.26094572283768,44.91887656215238,2.922177840784094,18035,545.2954403256042,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,9.30320603074236,-0.1927987245720857,0.21871495857131018,-0.9951111027597221,2.0806664113564324,-0.16516069086882235,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb4h_w51_22_27,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.51,0.21999999999999997,0.27,4h,62559.700049637104,3027.985002481855,130.88884250855733,44.826678193967155,2.919887169470714,9018,370.964219968517,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,8.931102816462015,-0.2849970927573082,0.21642428725793028,-1.367214317040066,1.9884680431712098,-0.16745136218220225,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb3h_w52_24_24,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.24,0.24,3h,61170.10827044812,2958.5054135224063,129.63180118256767,44.42542603055535,2.9179641652374535,12023,414.57023232985284,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,7.674061490472354,-0.6862492561691127,0.21450128302466975,-2.624255643029727,1.5872158797594054,-0.16937436641546277,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb3h_w51_23_26,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.51,0.22999999999999998,0.26,3h,61731.16452153027,2986.558226076513,130.14191534255463,44.65499889958077,2.914386262447684,12023,421.71804805867083,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,8.18417565045931,-0.45667638714369474,0.2109233802349002,-2.114141483042772,1.8167887487848233,-0.17295226920523232,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb4h_w50_21_29,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.21000000000000002,0.29,4h,63037.76762551012,3051.888381275506,131.3164207936353,45.07536562538134,2.9132635747205735,9018,375.07651153135856,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,9.358681101539986,-0.0363096613431253,0.20980069250778977,-0.9396360319620953,2.2371554745853928,-0.17407495693234276,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb3h_w50_22_28,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.21999999999999997,0.28,3h,62242.16268189698,3012.108134094849,130.60347172878224,44.88865575540147,2.9094983917638624,12023,427.719446079325,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,8.645732036686923,-0.2230195313229899,0.20603550955107863,-1.6525850968151587,2.050445604605528,-0.1778401398890539,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb2h_w52_22_26,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.21999999999999997,0.26,2h,62542.889169252834,3027.1444584626415,130.87376209345928,45.095506664414586,2.90214639492527,18035,538.104925194915,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,8.91602240136396,-0.016168622309876923,0.1986835127124862,-1.3822947321381207,2.257296513618641,-0.18519213672764634,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb4h_w52_22_26,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.21999999999999997,0.26,4h,62156.77510613849,3007.8387553069247,130.5265459601399,45.00217985130776,2.9004494091489397,9018,366.63653254538013,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,8.568806268044597,-0.10949543541670437,0.19698652693615593,-1.7295108654574847,2.1639697005118137,-0.1868891225039766,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb3h_w52_23_25,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.22999999999999998,0.25,3h,61324.75894965304,2966.237947482652,129.7727624634112,44.8343367156489,2.8944949779554903,12023,416.3916539928936,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,7.815022771315881,-0.2773385710755605,0.19103209574270652,-2.4832943621862,1.9961265648529576,-0.192843553697426,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb3h_w51_22_27,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.51,0.21999999999999997,0.27,3h,61854.38077539973,2992.7190387699866,130.2534736195741,45.06553567949668,2.8903123341510635,12023,422.9088483648755,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,8.295733927478778,-0.04613960722777932,0.18684945193827973,-2.002583206023303,2.2273255287007387,-0.1970261975018528,False,False,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb45min_w52_22_26,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.21999999999999997,0.26,45min,64391.9256540188,3119.5962827009403,132.51438559752367,45.22161725390942,2.9303327400584678,48092,1000.3825611249082,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,10.556645905428354,0.10994196718495886,0.22686985784568403,0.2583287719262728,2.383407103113477,-0.1570057915944485,False,False,False
lv3p0_g12_body25_tp20_lb5_none_case3_rb90min_w50_21_29,study120_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.21000000000000002,0.29,90min,64213.61613241068,3110.680806620534,132.35773971140833,45.26443582036567,2.924100064710341,24046,662.7784075024704,121.95773969209532,45.11167528672446,132.2560568255974,42.838210150795945,10.400000019313012,0.15276053364120656,0.22063718249755704,0.10168288581093066,2.4262256695697246,-0.1632384669425755,False,False,False
