episode_id,peak_idx,trough_idx,recovery_idx,peak_time,trough_time,recovery_time,peak_equity,trough_equity,recovery_equity,depth_pct,days_to_trough,days_to_recovery,recovered,btc_peak_to_trough_pct,btc_peak_to_recovery_pct,bullish_4h_share_pct,bearish_4h_share_pct,long_share_pct,short_share_pct,flat_share_pct,short_gate_open_share_pct,avg_bearish_ob_above_count,avg_bullish_ob_below_count,side_change_count,episode_label
U370,136182,136183,136184.0,2024-11-20 13:30:00,2024-11-20 13:45:00,2024-11-20 14:00:00,143120.80072308372,143062.28121856952,143431.00828173518,0.04088818971005326,0.010416666666666666,0.020833333333333332,True,-0.0228809923571216,0.12129044559672231,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U371,136184,136185,136186.0,2024-11-20 14:00:00,2024-11-20 14:15:00,2024-11-20 14:30:00,143431.00828173518,142898.6433448355,143601.14832263745,0.37116446665004243,0.010416666666666666,0.020833333333333332,True,-0.20790130771509707,0.06644377671505275,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U372,136186,136187,136188.0,2024-11-20 14:30:00,2024-11-20 14:45:00,2024-11-20 15:00:00,143601.14832263745,142465.97830451553,144000.2188325882,0.7905020477771307,0.010416666666666666,0.020833333333333332,True,-0.44301682829556155,0.15574314751296559,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U373,136188,136189,136192.0,2024-11-20 15:00:00,2024-11-20 15:15:00,2024-11-20 16:00:00,144000.2188325882,143256.53346272075,144086.37254756736,0.5164473886890786,0.010416666666666666,0.041666666666666664,True,-0.28978285815630667,0.03357047318530704,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U374,136192,136203,136227.0,2024-11-20 16:00:00,2024-11-20 18:45:00,2024-11-21 00:45:00,144086.37254756736,139976.19012634357,144325.0562673682,2.8525823424882746,0.11458333333333333,0.3645833333333333,True,-1.6010274605072428,0.09297377843959787,100.0,0.0,100.0,0.0,0.0,0.0,0.08333333333333333,4.916666666666667,0,혼합형 추세/휩쏘
U375,136227,136228,136230.0,2024-11-21 00:45:00,2024-11-21 01:00:00,2024-11-21 01:30:00,144325.0562673682,143854.4619185668,144357.56710320938,0.3260655917774913,0.010416666666666666,0.03125,True,-0.18313898319380906,0.012652088648956727,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U376,136230,136235,136237.0,2024-11-21 01:30:00,2024-11-21 02:45:00,2024-11-21 03:15:00,144357.56710320938,142655.89577055452,144471.08410502155,1.1787891461472522,0.052083333333333336,0.07291666666666667,True,-0.6621476311961083,0.044171287608851806,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U377,136241,136242,136243.0,2024-11-21 04:15:00,2024-11-21 04:30:00,2024-11-21 04:45:00,149297.3176856478,148377.53195497385,149336.60161228926,0.6160765276510882,0.010416666666666666,0.020833333333333332,True,-0.3511537391408637,0.014997729654031566,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U378,136246,136258,136264.0,2024-11-21 05:30:00,2024-11-21 08:30:00,2024-11-21 10:00:00,151981.08718433892,149781.4582160497,152132.2625710005,1.4473044041468541,0.125,0.1875,True,-0.8312523868174937,0.05713004456757709,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U379,136264,136265,136268.0,2024-11-21 10:00:00,2024-11-21 10:15:00,2024-11-21 11:00:00,152132.2625710005,151314.88597322634,152328.68220420775,0.5372802480950956,0.010416666666666666,0.041666666666666664,True,-0.30871492933937095,0.07418572216475461,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
