variant,case3_name,w1,w2,w3,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid
compression_case3_w64_20_16,compression_case3,0.64,0.2,0.16,36155.00178896952,1707.750089448476,102.08330098782787,42.26712979951186,2.4151935906707065,9013,215.3141229475765
compression_case3_w70_24_6,compression_case3,0.7,0.24,0.06,44106.950665237266,2105.347533261863,112.08690958079201,46.443436214651534,2.4134069034588768,9013,212.5312551081344
compression_case3_w68_26_6,compression_case3,0.68,0.26,0.06,44505.19383992843,2125.2596919964217,112.55072769775536,46.652585469698025,2.412529264232521,9013,220.09719408854846
compression_case3_w62_30_8,compression_case3,0.62,0.3,0.08,43624.31170776941,2081.2155853884706,111.520530667672,46.227041906294005,2.412452237236664,9013,236.19575622374464
regime_hold_case3_w64_34_2,regime_hold_case3,0.64,0.34,0.02,50181.888719693736,2409.0944359846867,118.84665089719451,49.288114907629236,2.4112638740581738,9012,242.80035254540098
compression_case3_w66_28_6,compression_case3,0.66,0.28,0.06,44861.35795217255,2143.0678976086274,112.96288419939535,46.863515774115626,2.4104654192801456,9013,226.71440065236868
compression_case3_w60_20_20,compression_case3,0.6,0.2,0.2,33502.20677600107,1575.1103388000533,98.37509300342285,40.813576574723655,2.410352173456608,9013,215.55093802246816
regime_hold_case3_w66_18_16,regime_hold_case3,0.66,0.18,0.16,43501.845450071036,2075.092272503552,111.37898626323977,46.23138779269576,2.409163807988409,9012,291.596827983138
compression_case3_w60_32_8,compression_case3,0.6,0.32,0.08,43876.69865002233,2093.8349325011163,111.8172961610683,46.444473106068486,2.4075479531375743,9013,240.39173590105935
compression_case3_w64_30_6,compression_case3,0.64,0.3,0.06,45174.36565758967,2158.7182828794835,113.32305973165333,47.07620542384389,2.407225873694903,9013,232.37607155700383
compression_case3_w72_24_4,compression_case3,0.72,0.24,0.04,45618.179893944805,2180.9089946972404,113.83052897865676,47.29019702060213,2.4070639614604716,9013,205.49422009499813
compression_case3_w70_26_4,compression_case3,0.7,0.26,0.04,46037.67318471245,2201.8836592356224,114.30676485207316,47.496454461254565,2.406637845890568,9013,213.69100348756547
regime_hold_case3_w62_36_2,regime_hold_case3,0.62,0.36,0.02,50394.624374856736,2419.7312187428365,119.07177238034441,49.49972548732018,2.405503691345637,9012,246.61689300245192
compression_case3_w68_28_4,compression_case3,0.68,0.28,0.04,46413.78316861515,2220.6891584307573,114.730964421168,47.70446658083915,2.405036103417002,9013,220.91061487606277
regime_hold_case3_w70_20_10,regime_hold_case3,0.7,0.2,0.1,45711.04590114277,2185.5522950571385,113.93924859531586,47.38547677373282,2.404518353574439,9012,261.7566954114162
compression_case3_w62_32_6,compression_case3,0.62,0.32,0.06,45443.25609681935,2172.1628048409675,113.63096448203609,47.29063242322661,2.402821841439927,9013,237.08054598809625
compression_case3_w70_22_8,compression_case3,0.7,0.22,0.08,42197.26245401164,2009.8631227005817,109.81765729548667,45.713399328402595,2.4023078333458106,9013,210.17766264112515
compression_case3_w66_30_4,compression_case3,0.66,0.3,0.04,46745.36090023988,2237.268045011994,115.10278505116145,47.91421181266134,2.402268151695767,9013,227.14712898138856
compression_case3_w72_26_2,compression_case3,0.72,0.26,0.02,47587.96522854046,2279.398261427023,116.03875229552037,48.3292051211192,2.4010068447166124,9013,205.78671553701082
compression_case3_w74_24_2,compression_case3,0.74,0.24,0.02,47146.58760512308,2257.329380256154,115.55004772211528,48.12580590693574,2.40099974524193,9013,196.91064524680462
compression_case3_w70_28_2,compression_case3,0.7,0.28,0.02,47984.63928833946,2299.231964416973,116.47504109760192,48.534332967488936,2.399848395477559,9013,213.66275985635426
regime_hold_case3_w60_38_2,regime_hold_case3,0.6,0.38,0.02,50556.66069224642,2427.8330346123207,119.2427605799482,49.712951095483305,2.3986256690116723,9012,249.40829836607665
compression_case3_w64_32_4,compression_case3,0.64,0.32,0.04,47031.389548457555,2251.5694774228778,115.42192787631235,48.12566853095718,2.3983444053783143,9013,232.398173484772
compression_case3_w68_30_2,compression_case3,0.68,0.3,0.02,48335.40300464577,2316.7701502322884,116.85856598805961,48.74116817762274,2.3975331399978597,9013,220.52741779336517
compression_case3_w60_34_6,compression_case3,0.6,0.34,0.06,45667.18174742273,2183.3590873711364,113.88632961514205,47.50677471815341,2.3972650277945204,9013,240.83043272053925
regime_hold_case3_w74_26_0,regime_hold_case3,0.74,0.26,0.0,49153.87315364312,2357.6936576821563,117.74848752684753,49.15094827744154,2.395650372037475,9012,196.46711109231833
baseline_70_case12_only,none,0.74,0.26,0.0,49153.87315364312,2357.6936576821563,117.74848752684753,49.15094827744154,2.395650372037475,9012,196.46711109231833
compression_case3_w74_26_0,compression_case3,0.74,0.26,0.0,49153.87315364312,2357.6936576821563,117.74535564456166,49.15094827744154,2.395586652365818,9013,196.46711109231833
regime_hold_case3_w72_28_0,regime_hold_case3,0.72,0.28,0.0,49571.77327580518,2378.588663790259,118.19698141197077,49.35322546032555,2.39491908197546,9012,205.0147283368613
compression_case3_w72_28_0,compression_case3,0.72,0.28,0.0,49571.77327580518,2378.588663790259,118.19383478094316,49.35322546032555,2.394855324622253,9013,205.0147283368613
compression_case3_w66_32_2,compression_case3,0.66,0.32,0.02,48639.183739204054,2331.9591869602027,117.18902100624416,48.94968942470863,2.394070777231325,9013,226.37559918922906
compression_case3_w62_34_4,compression_case3,0.62,0.34,0.04,47270.971202352375,2263.5485601176188,115.68811766634659,48.33881505255293,2.393275828970423,9013,236.66733671595784
regime_hold_case3_w70_30_0,regime_hold_case3,0.7,0.3,0.0,49942.382793788776,2397.1191396894387,118.59233438184332,49.55718457579861,2.393040189772165,9012,212.52249158556356
compression_case3_w70_30_0,compression_case3,0.7,0.3,0.0,49942.382793788776,2397.1191396894387,118.58917473548445,49.55718457579861,2.3929764321881555,9013,212.52249158556356
regime_hold_case3_w76_24_0,regime_hold_case3,0.76,0.24,0.0,48689.9533321179,2334.4976666058947,117.2472115056531,49.0129000436196,2.392170457192037,9012,186.88851953903614
compression_case3_w76_24_0,compression_case3,0.76,0.24,0.0,48689.9533321179,2334.4976666058947,117.24409608764455,49.0129000436196,2.392106893966727,9013,186.88851953903614
compression_case3_w66_20_14,compression_case3,0.66,0.2,0.14,37518.2986928903,1775.914934644515,103.9093672824758,43.44596383571139,2.3916920723730186,9013,213.62595613851047
regime_hold_case3_w68_32_0,regime_hold_case3,0.68,0.32,0.0,50264.563661984685,2413.2281830992342,118.93422497670004,49.76280459254417,2.3900225469711494,9012,218.98558568716987
compression_case3_w68_32_0,compression_case3,0.68,0.32,0.0,50264.563661984685,2413.2281830992342,118.93105406437647,49.76280459254417,2.3899588264403326,9013,218.98558568716987
compression_case3_w64_34_2,compression_case3,0.64,0.34,0.02,48895.035065840704,2344.751753292035,117.46612820469386,49.15987532517866,2.389471645883735,9013,231.20825135186732
regime_hold_case3_w74_22_4,regime_hold_case3,0.74,0.22,0.04,47543.09238140892,2277.1546190704457,115.99229929832018,48.56983349427947,2.3881551768544087,9012,218.72300146864103
compression_case3_w60_36_4,compression_case3,0.6,0.36,0.04,47463.347991363225,2273.1673995681613,115.90112172613662,48.553629638532314,2.3870743050310934,9013,239.95937172130508
regime_hold_case3_w66_34_0,regime_hold_case3,0.66,0.34,0.0,50537.31645502969,2426.8658227514848,119.22236947321494,49.9700644231446,2.3858758408563268,9012,224.40326784375674
compression_case3_w66_34_0,compression_case3,0.66,0.34,0.0,50537.31645502969,2426.8658227514848,119.2191890583023,49.9700644231446,2.3858121944522375,9013,224.40326784375674
regime_hold_case3_w68_18_14,regime_hold_case3,0.68,0.18,0.14,44102.808356483445,2105.1404178241723,112.08501568902771,46.99514806891848,2.3850337810331994,9012,280.32133987512645
compression_case3_w62_36_2,compression_case3,0.62,0.36,0.02,49102.15300479078,2355.107650239539,117.68965049727905,49.37170444035254,2.3837469625838725,9013,235.02870825738586
