variant,overlay_name,core_weight,overlay_weight,rebalance_hours,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,fee_paid,rebalance_count,delta_cagr_vs_core85,delta_mdd_vs_core85,delta_calmar_vs_core85,meets_cagr_floor,is_live_overlay
study111_proxy_w3_rb24h,study111_proxy,0.97,0.03,24,48630.23751924674,2331.5118759623365,117.20110799400709,42.77291788878912,2.740077455055405,16.337219088215054,1503,-3.4352536279653805,-1.082880769165243,-0.0106730799617476,True,True
study111_exact_w2_rb168h,study111_exact,0.98,0.02,168,49588.21437723936,2379.4107188619682,118.23345418938978,43.15358965351401,2.7398289490793726,4.7571915376644665,215,-2.402907432582694,-0.7022090044403484,-0.01092158593777981,True,True
gap12_reference_w5_rb168h,gap12_reference,0.95,0.05,168,46575.391067552,2228.7695533776005,114.93371369544212,41.949239602304345,2.7398282968907166,11.553712493150378,215,-5.7026479265303465,-1.906559055650014,-0.01092223812643578,True,True
gap12_reference_w6_rb4h,gap12_reference,0.94,0.06,4,45669.087782417635,2183.454389120882,113.90954268479763,41.57740539404324,2.7396981991838616,68.6956701284919,9016,-6.726818937174841,-2.27839326391112,-0.011052335833290794,True,True
buy_hold_reference_w7_rb168h,buy_hold_reference,0.9299999999999999,0.07,168,45346.67782401495,2167.3338912007475,113.54149213153426,41.46042195130835,2.7385512927214983,13.844594878513512,215,-7.094869490438214,-2.3953767066460117,-0.012199242295654056,True,True
study111_exact_w2_rb4h,study111_exact,0.98,0.02,4,49515.18235181035,2375.7591175905172,118.15528673152404,43.14527447993437,2.738545255668142,23.607573687061173,9016,-2.4810748904484257,-0.7105241780199876,-0.01220527934901039,True,True
gap12_reference_w12_rb24h,gap12_reference,0.88,0.12,24,40094.18093032972,1904.709046516486,107.24633564646537,39.17239376257685,2.7378039824801976,54.71420923195311,1503,-13.3900259755071,-4.683404895377507,-0.012946552536954758,True,True
gap12_reference_w7_rb4h,gap12_reference,0.9299999999999999,0.07,4,44672.42632391595,2133.6213161957976,112.76534376957565,41.19101858673629,2.7376196957141197,77.96968417318253,9016,-7.871017852396818,-2.6647800712180683,-0.013130839303032715,True,True
gap12_reference_w6_rb168h,gap12_reference,0.94,0.06,168,45552.81176618122,2177.640588309061,113.777033968899,41.56266874722756,2.7374814322164647,13.48361166448694,215,-6.859327653073464,-2.2931299107267975,-0.013269102800687715,True,True
study111_proxy_w3_rb168h,study111_proxy,0.97,0.03,168,48584.855451638105,2329.2427725819052,117.15182229277703,42.800127749236175,2.737183939710735,6.878533359405815,215,-3.4845393291954423,-1.0556709087181844,-0.013566595306417462,True,True
